date,time,time_in_video,condition,sleep_deprivation_days,time_elapsed
2020-04-22,18-09,08-28,control,0,42
2020-04-22,23-01,00-07,control,0,51
2020-04-22,23-01,00-59,control,0,53
2020-04-22,23-01,01-55,control,0,53
2020-04-22,23-01,02-49,control,0,54
2020-04-22,23-01,03-44,control,0,53
2020-04-22,23-01,04-38,control,0,53
2020-04-22,23-01,05-52,control,0,53
2020-04-22,23-01,06-27,control,0,49
2020-04-22,23-01,07-17,control,0,57
2020-04-22,23-01,08-16,control,0,63
2020-04-22,23-01,09-20,control,0,53
